Name;Parent;Level;Occurance;Type;Min;Max;Description
WM_UNIT_ISO;E1BPE1MLGNRT;3;0..1;String;;3;Unidade de medida WM em code ISO
ADD_TO_STK;E1BPE1MLGNRT;3;0..1;String;;1;Código: armazenamento adicional permitido
BLOCK_STGE;E1BPE1MLGNRT;3;0..1;String;;2;Código depósito em bloco
MSG_TO_IM;E1BPE1MLGNRT;3;0..1;String;;1;Código: mensagem para a administração de estoques
SPEC_MVMT;E1BPE1MLGNRT;3;0..1;String;;1;Código especial para movimento na administração de depósitos
CAPY_USAGE;E1BPE1MLGNRT;3;0..1;String;;13;Consumo de capacidade
PROCURE_UN;E1BPE1MLGNRT;3;0..1;String;;3;Unidade de medida de referência para consumo capacidade
PROCURE_UN_ISO;E1BPE1MLGNRT;3;0..1;String;;3;UM de referência para consumo de capacidade em code ISO
STGE_TYPE;E1BPE1MLGNRT;3;0..1;String;;3;Tipo de depósito picking para planejamento global/detalhado
REF_UNIT;E1BPE1MLGNRT;3;0..1;String;;1;Proposta para unidade de medida do mestre de material
_--32STEP_PICK;E1BPE1MLGNRT;3;0..1;String;;1;Relevância do material para picking em 2 etapas
MATERIAL_EXTERNAL;E1BPE1MLGNRT;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MLGNRT;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MLGNRT;3;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MLGNRT;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MLGNRTX;IDOC;2;0..999999;Complex;;;Transf.dados varejo - barra de seleção para BAPIE1MLGNRT
FUNCTION;E1BPE1MLGNRTX;3;0..1;String;;3;Função
MATERIAL;E1BPE1MLGNRTX;3;0..1;String;;18;Nº do material
WHSE_NO;E1BPE1MLGNRTX;3;0..1;String;;3;Nº do depósito/complexo de depósito
DEL_FLAG;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
STGESECTOR;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
PLACEMENT;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
WITHDRAWAL;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
L_EQUIP_1;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
L_EQUIP_2;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
L_EQUIP_3;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
LEQ_UNIT_1;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
LEQ_UNIT_1_ISO;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
LEQ_UNIT_2;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
LEQ_UNIT_2_ISO;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
LEQ_UNIT_3;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
LEQ_UNIT_3_ISO;E1BPE1MLGNRTX;3;0..1;String;;1;Info modificação p/respectivo campo dados utilização
