Name;Parent;Level;Occurance;Type;Min;Max;Description
WIDTH;E1BPE1MARMRT;3;0..1;String;;15;Largura
HEIGHT;E1BPE1MARMRT;3;0..1;String;;15;Altura
UNIT_DIM;E1BPE1MARMRT;3;0..1;String;;3;Unidade para comprimento/largura/altura
UNIT_DIM_ISO;E1BPE1MARMRT;3;0..1;String;;3;Inidade para comprimento/largura/altura no code ISO
VOLUME;E1BPE1MARMRT;3;0..1;String;;15;Volume
VOLUMEUNIT;E1BPE1MARMRT;3;0..1;String;;3;Unidade de volume
VOLUMEUNIT_ISO;E1BPE1MARMRT;3;0..1;String;;3;Unidade de volume no code ISO
GROSS_WT;E1BPE1MARMRT;3;0..1;String;;15;Peso bruto
UNIT_OF_WT;E1BPE1MARMRT;3;0..1;String;;3;Unidade de peso
UNIT_OF_WT_ISO;E1BPE1MARMRT;3;0..1;String;;3;Unidade de peso no código ISO
UNIT;E1BPE1MARMRT;3;0..1;String;;3;Unidade de medida para a exibição
